data_file,W17_G102_lc_8200.txt
run_name,8200_clipped
nsys,50
rl_in,0.1255
epoch_in,58021.48064883803
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8930893903174474
c2,-0.7909427699349327
c3,0.7800398740616332
c4,-0.27844197081941136
wavelength_mid_point,8197.85966782298
wavelength_half_width,95.09852813007092
top_five_numbers,[36 40 41 37 42]
top_five_aicevidence,[316.36317644 316.29781829 316.1974493  316.14277874 316.05043783]
top_five_dof,[46. 46. 45. 45. 44.]
top_five_chisq,[53.37734744 53.50806372 52.70880172 52.81814284 52.00282466]
top_five_weights,"[0.09298263883507316 0.08709980570666273 0.07878208749545822
 0.07459064495888305 0.06801132168270974]"
top_five_sdnr,[411.22093147 412.17704273 408.73730155 409.12749076 406.07695818]
white_noise,0.0
red_noise,0.0
beta,1.0
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12278676073581249
rl_marg_err,0.0006609621076613969
epoch_marg,58021.47789631392
epoch_marg_err,0.0006700189069002411
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-34-47_W17_8200_clipped/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-34-47_W17_8200_clipped/residuals_best-model.png
