data_file,W17_G141_lc_15275.txt
run_name,190
nsys,50
rl_in,0.12169232
epoch_in,57957.97108811848
incl_deg_in,87.34635
ecc_in,0.0
omega_in,0.0
period_in,3.73548535
aor_in,7.0780354
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,1.1144021133340853
c2,-1.4326955758939988
c3,1.2274969758158834
c4,-0.41097959736252027
wavelength_mid_point,15330.214429267951
wavelength_half_width,45.40313482374586
top_five_numbers,[49 44 45 47 48]
top_five_aicevidence,[304.78001303 304.62559864 304.31470281 304.05864913 303.98368559]
top_five_dof,[37. 38. 41. 39. 38.]
top_five_chisq,[46.90424847 48.21307724 51.8348689  50.34697626 49.49690335]
top_five_weights,"[0.21599737624995366 0.18509179233269374 0.13563345276336983
 0.10499391172783096 0.09741096891551196]"
top_five_sdnr,[301.79410795 306.04187479 317.36517892 312.78111088 310.0400604 ]
white_noise,0.0
red_noise,0.0
beta,1.0
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12307380438485946
rl_marg_err,0.0007052813901971002
epoch_marg,57957.970189593165
epoch_marg_err,0.0005472031035197431
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T16-10-23_W17_190/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T16-10-23_W17_190/residuals_best-model.png
