data_file,W17_G141_lc_14111.txt
run_name,190
nsys,50
rl_in,0.12169232
epoch_in,57957.97108811848
incl_deg_in,87.34635
ecc_in,0.0
omega_in,0.0
period_in,3.73548535
aor_in,7.0780354
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,1.0004609053189426
c2,-1.1399915631039457
c3,0.9721393140062538
c4,-0.3278356542206665
wavelength_mid_point,14149.732923850563
wavelength_half_width,45.40313482374495
top_five_numbers,[38 37 39 42 43]
top_five_aicevidence,[299.24963199 299.10057043 298.99426343 298.95006459 298.89373204]
top_five_dof,[40. 41. 39. 40. 39.]
top_five_chisq,[68.66307291 69.96119603 68.17381002 69.2622077  68.3748728 ]
top_five_weights,"[0.1652607289560052 0.1423747752545828 0.12801607527751468
 0.12248113340116193 0.11577219898093168]"
top_five_sdnr,[337.63667817 340.86723037 336.43695103 339.2293507  336.97977517]
white_noise,0.00046193945839035396
red_noise,0.0001258032979218002
beta,1.3538768937053023
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12332692354656409
rl_marg_err,0.0005743537959692022
epoch_marg,57957.97108974202
epoch_marg_err,0.0005327556241223755
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T15-57-28_W17_190/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T15-57-28_W17_190/residuals_best-model.png
