data_file,W17_G141_lc_12171.txt
run_name,190
nsys,50
rl_in,0.12169232
epoch_in,57957.97108811848
incl_deg_in,87.34635
ecc_in,0.0
omega_in,0.0
period_in,3.73548535
aor_in,7.0780354
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8719387821492861
c2,-0.8629982817387504
c3,0.7748979834877336
c4,-0.2690593902571021
wavelength_mid_point,12220.099693841366
wavelength_half_width,68.10470223561879
top_five_numbers,[22 47 23 48 24]
top_five_aicevidence,[315.9573769  315.70271404 315.45801247 315.20279697 315.02226567]
top_five_dof,[40. 39. 39. 38. 38.]
top_five_chisq,[47.56187871 47.07120442 47.56060757 47.07103857 47.43210116]
top_five_weights,"[0.1625373172522766 0.12599532020624396 0.09864654322995554
 0.07642636203386848 0.06380275659195282]"
top_five_sdnr,[247.98446572 246.6621095  247.98256418 246.66361858 247.63388594]
white_noise,0.0
red_noise,0.0
beta,1.0
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12236535135007641
rl_marg_err,0.0005231091134046336
epoch_marg,57957.971505674555
epoch_marg_err,0.0004923492066193299
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T15-34-52_W17_190/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T15-34-52_W17_190/residuals_best-model.png
