,bjdtdb,phase,flux_raw,flux_norm,sigma_raw,sigma_norm,bestfit_raw,bestfit_norm
0,2456423.0033813845,0.9503240837000249,20595.02500352589,0.9890246033947537,137.8541028769341,0.00632524936283078,20823.57196457499,1.0
1,2456423.003404535,0.9503302811158392,20772.867729151934,0.9966030869332719,138.14403370221834,0.006332440073737579,20843.671870487382,0.9999999999999998
2,2456423.0034276857,0.950336478656368,20873.884213343732,1.0014677758193373,138.59143284807476,0.006353064691200521,20843.29093491405,0.9999999999999998
3,2456423.003450836,0.9503426760722391,20741.45486462869,0.9950907422525475,137.846961486609,0.006318788964163076,20843.782364688755,1.0000000000000002
4,2456423.0034739864,0.9503488734881103,20879.223315395586,1.0006582110878182,138.37292163424,0.006336299809925755,20865.48941890731,1.0
5,2456423.0034971368,0.9503550709039814,20992.031985977526,1.0022734701968539,138.74831043080366,0.006329547190805411,20944.415481589607,1.0
6,2456423.0035202876,0.9503612684445102,20960.915979329606,1.0056760110393304,138.5050385256989,0.006349310844484272,20842.61307741371,0.9999999999999998
7,2456423.003543438,0.9503674658603813,20976.17971038336,1.00536910602783,138.55839412705626,0.0063451978033341105,20864.157834787013,1.0000000000000002
8,2456423.003566588,0.9503736631515949,20928.77933548057,1.0005575350855132,138.35370195920888,0.006319782550768653,20917.117308693178,1.0
9,2456423.0035897386,0.9503798606920668,21037.07439398295,1.0090057895391198,138.6183589148382,0.0063524645736891,20849.309897014555,1.0000000000000002
10,2456423.003612889,0.950386058107938,20943.920049022952,1.0052140145249084,138.60703227565918,0.006356221335856915,20835.28457263065,0.9999999999999998
11,2456423.0036360393,0.9503922555238091,20833.908099749187,0.999882502103634,138.14400963682766,0.0063346622589163844,20836.356327785637,1.0000000000000002
12,2456423.0036765067,0.9504030887538306,20591.482489826845,0.9853421036602824,150.5588603877341,0.006883652336625972,20897.800280060088,1.0
13,2456423.003699657,0.9504092861697018,20946.03386369457,1.0036602649318638,139.22270524209884,0.006373943082769107,20869.645432378005,1.0
14,2456423.0037228074,0.9504154835855729,20747.77012389471,0.9891309464340671,137.67820810791528,0.006271345830682176,20975.756747570027,1.0
15,2456423.0037459577,0.9504216810014441,20975.75946323735,1.000678249725293,137.87269775472637,0.006284463713906142,20961.542302928672,1.0
16,2456423.003769108,0.9504278784173152,20902.726286442783,0.996621712417891,137.70818025899572,0.006273361777848437,20973.581074940612,1.0
17,2456423.0037922584,0.9504340758331864,21071.094801628,1.005940401899791,138.22152109604406,0.006304839008105498,20946.663203738233,1.0
18,2456423.003815409,0.9504402732490007,20746.656174737098,0.9932747155449783,137.4861210558186,0.006289169698956903,20887.12805233753,1.0
19,2456423.003838559,0.9504464706648719,20811.58019622302,1.0009908047031661,137.55306294140686,0.00632133024709802,20790.980395064158,1.0
20,2456423.00386171,0.9504526682054006,20759.89965855678,0.9963038327282251,137.45717426589198,0.006302997663534695,20836.91638695094,1.0
21,2456423.0038848603,0.9504588656212718,20909.28010480683,1.002455960565354,137.97921751479177,0.006320523974862099,20858.053547823332,1.0
22,2456423.0039080107,0.950465063037143,20777.459646844978,0.9993389397959003,137.71661978234752,0.006328778565766546,20791.20388432823,1.0
23,2456423.0039311615,0.9504712605776717,21034.123518168206,1.0067427858573887,138.22053164302233,0.006320913523435129,20893.244842330376,0.9999999999999998
24,2456423.003954312,0.9504774579935429,20954.143999118613,1.0017194221127834,138.00752017350476,0.006303650204884251,20918.176823329464,0.9999999999999998
25,2456423.003977462,0.950483655409414,20803.66828837198,0.9992281836968279,137.7382891967899,0.006321099439799653,20819.73730104869,1.0
26,2456423.0040006125,0.9504898528252284,20573.845740684847,0.9849524114555823,137.28149524671912,0.006279498380032604,20888.162211086328,1.0
27,2456423.0040237634,0.9504960503657571,20651.674889769078,0.98657452342216,137.4387086275441,0.006273311690975181,20932.706449923335,1.0000000000000004
28,2456423.0040469137,0.9505022477816283,20801.381584004735,0.9934620591835115,137.77044698815774,0.006286781345208943,20938.27478535073,1.0
29,2456423.0040700636,0.9505084450728418,21238.6442330228,1.0154050157030075,138.9249752567485,0.006346087058472928,20916.42635654935,0.9999999999999997
30,2456423.004093214,0.950514642488713,20817.736669044683,0.9984178108764123,137.84637223798015,0.006316657561795473,20850.72646167124,0.9999999999999998
31,2456423.0041163648,0.9505208400292418,20963.196704532413,1.004090480266676,138.2322433126738,0.006326126609431951,20877.796489978482,1.0
32,2456423.004139515,0.9505270374451129,20865.064336412455,0.9985241832668654,137.93670780163717,0.006307131690389125,20895.90285950647,1.0
33,2456423.0041626655,0.9505332348609841,20809.81887819473,0.9945252906083534,137.81638417708223,0.006293055560430738,20924.373743643373,0.9999999999999998
34,2456423.0041858163,0.950539432401456,20793.386385087088,0.9911285575728332,137.80965086139807,0.006276211665863199,20979.504854554736,1.0
35,2456423.0042089666,0.9505456298173272,21058.037449755106,1.003349101792776,138.39817945454485,0.006300539420647143,20987.747347487308,1.0
36,2456423.004232117,0.9505518272331983,20764.183096244786,0.9897277135870166,137.86746514891865,0.006278788518753561,20979.692506528165,1.0
37,2456423.0042552673,0.9505580246490695,20883.88262971888,1.000201629941144,137.9574890964619,0.006312985312631155,20879.67266254882,0.9999999999999998
38,2456423.004278418,0.9505642221895982,20884.591842327834,1.0002203857474379,138.13692724895694,0.006321100340211727,20879.990190083296,1.0
39,2456423.0043015685,0.9505704196054694,20581.431490024937,0.9855645905756106,137.3931040842543,0.006286191874189247,20882.8844774187,0.9999999999999998
