#Wavelength (um)	Mean (Fp/Fs)	Lower 1-sig (Fp/Fs)	Upper 1-sig (Fp/Fs)	Lower 2-sig (Fp/Fs)	Upper 2-sig (Fp/Fs)	Lower 3-sig (Fp/Fs)	Upper 3-sig (Fp/Fs)
0.2861230329041490	0.12565852132894400	0.1251650633331920	0.12610895100703400	0.12482171640091600	0.12646190915922000	0.1243819619467870	0.12725888515937700
0.28694404591104700	0.12564728568640700	0.12515817061028900	0.1260993275221360	0.12481670079442400	0.1264545157110960	0.12437772729770000	0.12724647315523900
0.28776978417266200	0.12563945447128700	0.12514966734714700	0.12609039135005400	0.12481183651600800	0.1264478722507360	0.12437375757227500	0.12723448651108800
0.2886002886002890	0.1256279263035620	0.1251404867384020	0.1260792064353100	0.12480101724877600	0.12643375355988600	0.12436820363515000	0.12721700790601500
0.2894356005788710	0.12561936466565400	0.1251330392483720	0.12606976625956500	0.1247953136528290	0.12642582364242900	0.12436384747637900	0.12720382905452400
0.29027576197387500	0.1256080896185570	0.12512389900175800	0.1260587518507830	0.12478705920921100	0.12641307879143800	0.12435838523927000	0.127188563134303
0.29112081513828200	0.12559857048340300	0.12511685358187800	0.12604292568997100	0.12478369946534100	0.12640514776294900	0.12435357667374000	0.12717785333604400
0.291970802919708	0.12558905209365200	0.12510924320746300	0.12603135382489200	0.12477011007141900	0.12639509262521600	0.12434874420807600	0.12716151901242100
0.29282576866764300	0.1255789751411540	0.12510151877273300	0.12602010373424100	0.12476551066787400	0.12638278684611000	0.12434359624746900	0.12715019569382600
0.2936857562408220	0.12556644081765500	0.1250908425642140	0.12600082335759100	0.12474939426094100	0.12636543438265900	0.12433645950061200	0.127132151562827
0.29455081001472800	0.1255640710577340	0.12509006001296200	0.12599776876156300	0.12475752005219400	0.12635875192313700	0.12433350854551000	0.127125862921556
0.29542097488921700	0.12554437092644400	0.12507482660648500	0.12597377906577500	0.1247348989203380	0.12633807757090400	0.12432564305601900	0.12710382598476700
0.2962962962962960	0.12554229696650500	0.12507161839283400	0.12597446948044400	0.12474085209319300	0.12633180759936200	0.1243229663124900	0.12709258939826900
0.2971768202080240	0.12552443584742400	0.12505974245744800	0.12594851744307100	0.12473208592986800	0.12631469497274900	0.1243147436335920	0.12708619626340100
0.29806259314456000	0.1255122186232080	0.12505121601779900	0.12593659962006100	0.12472420182395100	0.12629942417683400	0.12430955662756400	0.12706012786174100
0.29895366218236200	0.12550933685695500	0.1250476388066600	0.12594009077285100	0.12471523272691300	0.126292058281728	0.12430672361369800	0.127046189932091
0.29985007496251900	0.1254902531778740	0.1250343633723300	0.12591146531274700	0.1247073190170050	0.12627253206699600	0.12429840564859400	0.12703136062303300
0.3007518796992480	0.12547699894719100	0.12502452763344800	0.12589886011063400	0.12470169804370100	0.12625600197369400	0.1242925107384360	0.1270099329485520
0.30165912518853700	0.1254673269679420	0.12501558318600300	0.1258868703720140	0.12469486765966700	0.12624217233464700	0.12428714005271100	0.12699096993597000
0.30257186081694400	0.12545774346597900	0.12500804933738400	0.1258885152886200	0.1246948828380610	0.12624245959790900	0.12428124322024600	0.12699629789100800
0.30349013657056100	0.1254551356642670	0.125006407682784	0.1258754841379120	0.1246834041172480	0.1262245461959690	0.12427878912320000	0.12697367469545600
0.30441400304414	0.12543371855601000	0.12498651086246000	0.12586016480081300	0.12467241511929900	0.1262013385299400	0.12426991895830700	0.12694663812719300
0.3053435114503820	0.12542189868068300	0.12497643647223800	0.12584550774013100	0.12466209944635300	0.12618682364513500	0.12426401340446500	0.12692510556008800
0.30627871362940300	0.12541268284349900	0.12496853485928800	0.12583309528209900	0.1246545520114210	0.12617565830372900	0.12425803661910900	0.12691430221713600
0.30721966205837200	0.12540362670266800	0.12495853859997500	0.12582033249256100	0.12464531796014200	0.12616149136340100	0.12425217606824500	0.12689291165737500
0.3081664098613250	0.12539248891068600	0.12494947015431000	0.12580932683239400	0.12463724501863400	0.1261486388225880	0.12424616024412700	0.126876476091112
0.3091190108191650	0.12538009654890500	0.12494065091488800	0.12579860238617000	0.12462938777474300	0.12613612513585400	0.1242402954906030	0.1268605747539240
0.31007751937984500	0.12538174324108100	0.12494102125140200	0.12579481181566800	0.12462798569000200	0.12613302796523300	0.12423813913202800	0.12685965156032500
0.3110419906687400	0.12535990630067000	0.12492207125201000	0.125775948551904	0.12461280488145500	0.12610972212949400	0.12422789896923400	0.1268271104365460
0.31201248049922	0.12535228739149100	0.1249130463240540	0.1257629444272520	0.12460473572175200	0.1260968781225650	0.12422185778869800	0.12681087499543000
0.3129890453834120	0.12533941074475000	0.12490377868584600	0.1257516951023940	0.12459643958202000	0.12608367582479600	0.12421564080479000	0.12679420950816400
0.3139717425431710	0.12532519284186200	0.12489437439726600	0.1257382905001470	0.12458801385551800	0.12607026448686300	0.12420931708858000	0.12677736144760000
0.31496062992126000	0.12531355666850300	0.124884703663068	0.12571984526565100	0.12456950072942400	0.12605646273817600	0.124202802705427	0.1267599617248060
0.315955766192733	0.12530740876359800	0.1248791416491310	0.1257107579995210	0.12457389309352100	0.12604650497694700	0.12419816359796600	0.1267471933422980
0.31695721077654500	0.12529601441595300	0.12486603526679400	0.12569485971043900	0.1245521136056010	0.12602978243853700	0.12419018718378400	0.12672642668845200
0.3179650238473770	0.12528768088193000	0.12485692300892700	0.12568169392428600	0.12453397408933300	0.12601673553293600	0.12418400482378100	0.12671028203891600
0.3189792663476870	0.12528130471446800	0.12484740225086000	0.1256713889505410	0.12452381716894100	0.12600296113486000	0.12417741632367600	0.12669615133974400
