# phase   flux   flux_e   sh
-0.04901601289042157 0.9848705692849054 8.19341165601279e-05 0.01000000121763378
-0.04839633164773938 0.9890722170039564 8.210870392101693e-05 0.01600000121766243
-0.047776647728787314 0.9915646529178394 8.22120947111891e-05 0.01800000121767198
-0.04715696648610501 0.9925082447048659 8.225120270607959e-05 0.02000000121768153
-0.04653728256715306 0.9936686191052785 8.229926996933301e-05 0.013000001217648105
-0.04591760132447076 0.9943203632616613 8.232625546272016e-05 0.007000001217619456
-0.045297917405518695 0.9954182618612758 8.237169400916158e-05 -0.004999998782437842
-0.044678236162836504 0.9955753935116253 8.237819514038001e-05 -0.012999998782476041
-0.044058552241936666 0.9963578287357935 8.241055981253755e-05 -0.03699999878259064
-0.04343887100120225 0.9964757593515637 8.241543679559527e-05 -0.04399999878262406
-0.04281918708030241 0.9970444563374953 8.243895102801751e-05 -0.03999999878260496
-0.04219950583762011 0.9970557153699107 8.243941649382283e-05 -0.04599999878263361
-0.03181055239259345 0.9940498902073456 8.231505758874879e-05 0.038000001217767476
-0.03119087114991126 0.9955037227838166 8.237522991469162e-05 0.0370000012177627
-0.03057118722901142 0.9959374205659665 8.239317161771382e-05 0.038000001217767476
-0.029951505988276894 0.9964014172672319 8.241236243599632e-05 0.036000001217757926
-0.029331822067377056 0.9966854549082048 8.242410797581534e-05 0.038000001217767476
-0.028712140824694865 0.9968291717101673 8.243005032309871e-05 0.03400000121774838
-0.028092456905742802 0.997332407390743 8.245085454392146e-05 0.02000000121768153
-0.0274727756630605 0.9975296545368074 8.245900748851449e-05 0.007000001217619456
-0.026853091744108548 0.9981545616773106 8.24848318610983e-05 -0.003999998782433067
-0.026233410501426246 0.997838499426478 8.24717715562534e-05 -0.017999998782499915
-0.025613726582474183 0.9981344816821597 8.248400217829292e-05 -0.023999998782528564
-0.024994045339791993 0.9982112101459375 8.248717246709976e-05 -0.027999998782547664
-0.02437436142083993 0.9982130751461887 8.248724952420148e-05 -0.02699999878254289
-0.02375468017815774 0.9978189250381976 8.247096263657519e-05 -0.02099999878251424
-0.0231349962572579 0.9963559578028751 8.241048243837684e-05 -0.03199999878256676
-0.014068992834972094 0.9802839482917992 8.174310704775524e-05 0.04700000121781045
-0.01344930891602003 0.9811974152098505 8.17811838913463e-05 0.0370000012177627
-0.01282962767333784 0.9817419150620875 8.180387232579718e-05 0.04300000121779135
-0.012209943754385777 0.9815985456111255 8.179789896136371e-05 0.0370000012177627
-0.011590262511703586 0.9823609164564534 8.18296574792026e-05 0.042000001217786576
-0.010970578592751523 0.9820157135725609 8.181527869270272e-05 0.0370000012177627
-0.010350897350069221 0.9825778967773218 8.183869409940435e-05 0.03500000121775315
-0.009731213431117158 0.9824574201874329 8.183367671143616e-05 0.02200000121769108
-0.009111532188434968 0.9825600948570559 8.183795273706013e-05 0.006000001217614681
-0.00849184826753513 0.98259311428948 8.183932782854923e-05 -0.004999998782437842
-0.007872167026800714 0.9830382543397307 8.185786339376857e-05 -0.015999998782490366
-0.007252483105900875 0.9831205205690022 8.186128848777996e-05 -0.015999998782490366
-0.006632801863218574 0.983476885642425 8.187612383111402e-05 -0.021999998782519015
-0.006013117944266511 0.9832608001961544 8.186712859648357e-05 -0.02499999878253334
-0.00539343670158432 0.9833012217293946 8.18688113447686e-05 -0.02299999878252379
0.0036693944411049367 0.9803584339939982 8.174621256482653e-05 0.0450000012178009
0.004289078362004776 0.9813254737839303 8.178652045254606e-05 0.052000001217834324
0.004908759604687019 0.9815835867198798 8.17972756869396e-05 0.05100000121782955
0.005528443523639064 0.9818417583320282 8.1808031951831e-05 0.05100000121782955
0.006148124766321306 0.9825589381817859 8.183790456699682e-05 0.04700000121781045
0.00676780868527335 0.9825759976135826 8.183861500890379e-05 0.046000001217805675
0.007387489927955593 0.9828977159358607 8.185201184902307e-05 0.040000001217777026
0.008007173846907639 0.9830192122867336 8.185707057145744e-05 0.028000001217719728
0.008626855089589882 0.983475667497173 8.187607312476606e-05 0.013000001217648105
0.009246539008541926 0.9835322608099897 8.187842883712064e-05 0.009000001217629006
0.009866220251224168 0.9841379533923036 8.190363671592459e-05 -0.007999998782452167
0.010485904170176212 0.983732580334557 8.188676664845629e-05 -0.008999998782456942
0.011105585412858455 0.9836406828499575 8.188294174533678e-05 -0.007999998782452167
0.011725269333758295 0.984061033088393 8.190043585586537e-05 -0.009999998782461716
0.012344950576440538 0.9841757480693281 8.190520940792714e-05 -0.01499999878248559
0.021407784395399577 0.9921806064228035 8.223762555582587e-05 0.06000000121787252
0.02202746563808182 0.9953672737637179 8.236958432827864e-05 0.06300000121788685
0.022647149558981658 0.9974362604271061 8.245514726951183e-05 0.06400000121789162
0.0232668308016639 0.9982494948963131 8.248875428189789e-05 0.06300000121788685
0.023886514720615946 0.9992016964967959 8.252808673460724e-05 0.05900000121786775
0.02450619596329819 0.9992263465505139 8.25291047018665e-05 0.06000000121787252
0.025125877205980432 0.9991803276587424 8.252720426075073e-05 0.046000001217805675
0.025745561124932478 0.9996918818828474 8.254832744374348e-05 0.0330000012177436
0.02636524236761472 0.9996885923974361 8.254819163102601e-05 0.0330000012177436
0.026984926286566763 0.9994035037378957 8.253642034968519e-05 0.013000001217648105
0.027604607529249005 0.9998690177379019 8.255564050747635e-05 0.007000001217619456
0.02822429144820105 1.0000498007173035 8.256310347504224e-05 0.004000001217605131
0.028843972690883294 1.0 8.256104770093828e-05 1.2175860319985077e-09
