data_file,W17_G102_lc_8588.txt
run_name,8588_clipped
nsys,50
rl_in,0.1255
epoch_in,58021.48064883803
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8763747132477385
c2,-0.8070778474173368
c3,0.7973957246241058
c4,-0.2886069398770283
wavelength_mid_point,8578.253780343264
wavelength_half_width,95.09852813007092
top_five_numbers,[49 44 19 48 34]
top_five_aicevidence,[324.1845503  324.18352375 323.44996831 323.41904476 323.28978197]
top_five_dof,[41. 42. 43. 42. 44.]
top_five_chisq,[55.32954497 56.33159806 58.79870895 57.86055604 60.11908163]
top_five_weights,"[0.22171504690225086 0.22148756354236562 0.10635802503182282
 0.10311939079239446 0.09061544355262353]"
top_five_sdnr,[338.87552132 342.04501559 349.65872468 346.53198072 353.11206233]
white_noise,0.0004752035742569517
red_noise,6.511750621885807e-05
beta,1.0884037422627904
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12212781072439584
rl_marg_err,0.0005399509822456524
epoch_marg,58021.47843597311
epoch_marg_err,0.0005945957107441422
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-39-42_W17_8588_clipped/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-39-42_W17_8588_clipped/residuals_best-model.png
