time_from_transit_centre,transit_model
-0.35,1.0
-0.3499299929992999,1.0
-0.34985998599859985,1.0
-0.34978997899789976,1.0
-0.3497199719971997,1.0
-0.34964996499649964,1.0
-0.34957995799579955,1.0
-0.34950995099509946,1.0
-0.3494399439943994,1.0
-0.34936993699369934,1.0
-0.3492999299929993,1.0
-0.3492299229922992,1.0
-0.3491599159915991,1.0
-0.3490899089908991,1.0
-0.349019901990199,1.0
-0.3489498949894989,1.0
-0.3488798879887989,1.0
-0.3488098809880988,1.0
-0.3487398739873987,1.0
-0.34866986698669866,1.0
-0.3485998599859986,1.0
-0.3485298529852985,1.0
-0.34845984598459845,1.0
-0.34838983898389836,1.0
-0.3483198319831983,1.0
-0.34824982498249824,1.0
-0.34817981798179815,1.0
-0.3481098109810981,1.0
-0.348039803980398,1.0
-0.34796979697969793,1.0
-0.3478997899789979,1.0
-0.3478297829782978,1.0
-0.3477597759775977,1.0
-0.3476897689768977,1.0
-0.3476197619761976,1.0
-0.3475497549754975,1.0
-0.34747974797479747,1.0
-0.3474097409740974,1.0
-0.3473397339733973,1.0
-0.34726972697269726,1.0
-0.34719971997199717,1.0
-0.34712971297129713,1.0
-0.34705970597059704,1.0
-0.34698969896989695,1.0
-0.3469196919691969,1.0
-0.34684968496849683,1.0
-0.34677967796779674,1.0
-0.3467096709670967,1.0
-0.3466396639663966,1.0
-0.3465696569656965,1.0
-0.3464996499649965,1.0
-0.3464296429642964,1.0
-0.3463596359635963,1.0
-0.3462896289628963,1.0
-0.3462196219621962,1.0
-0.34614961496149615,1.0
-0.34607960796079607,1.0
-0.346009600960096,1.0
-0.34593959395939594,1.0
-0.34586958695869585,1.0
-0.34579957995799576,1.0
-0.3457295729572957,1.0
-0.34565956595659564,1.0
-0.34558955895589555,1.0
-0.3455195519551955,1.0
-0.3454495449544954,1.0
-0.34537953795379533,1.0
-0.3453095309530953,1.0
-0.3452395239523952,1.0
-0.3451695169516951,1.0
-0.3450995099509951,1.0
-0.345029502950295,1.0
-0.34495949594959496,1.0
-0.3448894889488949,1.0
-0.3448194819481948,1.0
-0.34474947494749475,1.0
-0.34467946794679466,1.0
-0.34460946094609457,1.0
-0.34453945394539454,1.0
-0.34446944694469445,1.0
-0.34439943994399436,1.0
-0.3443294329432943,1.0
-0.34425942594259423,1.0
-0.34418941894189414,1.0
-0.3441194119411941,1.0
-0.344049404940494,1.0
-0.34397939793979393,1.0
-0.3439093909390939,1.0
-0.3438393839383938,1.0
-0.34376937693769377,1.0
-0.3436993699369937,1.0
-0.3436293629362936,1.0
-0.34355935593559356,1.0
-0.34348934893489347,1.0
-0.3434193419341934,1.0
-0.34334933493349334,1.0
-0.34327932793279325,1.0
-0.34320932093209316,1.0
-0.34313931393139313,1.0
-0.34306930693069304,1.0
-0.34299929992999295,1.0
-0.3429292929292929,1.0
-0.3428592859285928,1.0
-0.3427892789278928,1.0
-0.3427192719271927,1.0
-0.3426492649264926,1.0
-0.3425792579257926,1.0
-0.3425092509250925,1.0
-0.3424392439243924,1.0
-0.34236923692369237,1.0
-0.3422992299229923,1.0
-0.3422292229222922,1.0
-0.34215921592159215,1.0
-0.34208920892089206,1.0
-0.342019201920192,1.0
-0.34194919491949194,1.0
-0.34187918791879185,1.0
-0.34180918091809176,1.0
-0.3417391739173917,1.0
-0.34166916691669164,1.0
-0.3415991599159916,1.0
-0.3415291529152915,1.0
-0.3414591459145914,1.0
-0.3413891389138914,1.0
-0.3413191319131913,1.0
-0.3412491249124912,1.0
-0.3411791179117912,1.0
-0.3411091109110911,1.0
-0.341039103910391,1.0
-0.34096909690969096,1.0
-0.34089908990899087,1.0
-0.3408290829082908,1.0
-0.34075907590759075,1.0
-0.34068906890689066,1.0
-0.3406190619061906,1.0
-0.34054905490549053,1.0
-0.34047904790479044,1.0
-0.3404090409040904,1.0
-0.3403390339033903,1.0
-0.34026902690269023,1.0
-0.3401990199019902,1.0
-0.3401290129012901,1.0
-0.34005900590059,1.0
-0.33998899889989,1.0
-0.3399189918991899,1.0
-0.3398489848984898,1.0
-0.33977897789778977,1.0
-0.3397089708970897,1.0
-0.3396389638963896,1.0
-0.33956895689568956,1.0
-0.33949894989498947,1.0
-0.33942894289428943,1.0
-0.33935893589358934,1.0
-0.33928892889288925,1.0
-0.3392189218921892,1.0
-0.33914891489148913,1.0
-0.33907890789078904,1.0
-0.339008900890089,1.0
-0.3389388938893889,1.0
-0.3388688868886888,1.0
-0.3387988798879888,1.0
-0.3387288728872887,1.0
-0.3386588658865886,1.0
-0.3385888588858886,1.0
-0.3385188518851885,1.0
-0.33844884488448845,1.0
-0.33837883788378836,1.0
-0.3383088308830883,1.0
-0.33823882388238824,1.0
-0.33816881688168815,1.0
-0.33809880988098806,1.0
-0.338028802880288,1.0
-0.33795879587958794,1.0
-0.33788878887888785,1.0
-0.3378187818781878,1.0
-0.3377487748774877,1.0
-0.33767876787678763,1.0
-0.3376087608760876,1.0
-0.3375387538753875,1.0
-0.3374687468746874,1.0
-0.3373987398739874,1.0
-0.3373287328732873,1.0
-0.33725872587258726,1.0
-0.33718871887188717,1.0
-0.3371187118711871,1.0
-0.33704870487048705,1.0
-0.33697869786978696,1.0
-0.33690869086908687,1.0
-0.33683868386838683,1.0
-0.33676867686768674,1.0
-0.33669866986698666,1.0
-0.3366286628662866,1.0
-0.33655865586558653,1.0
-0.33648864886488644,1.0
-0.3364186418641864,1.0
-0.3363486348634863,1.0
-0.3362786278627863,1.0
-0.3362086208620862,1.0
-0.3361386138613861,1.0
-0.33606860686068607,1.0
-0.335998599859986,1.0
-0.3359285928592859,1.0
-0.33585858585858586,1.0
-0.33578857885788577,1.0
-0.3357185718571857,1.0
