time_bkjd,systematics_model_flux,transit_model_flux
1626.0,0.9999944328306897,1.0
1626.0046674445741,0.9999943473831703,1.0
1626.0093348891482,0.9999942606579977,1.0
1626.0140023337224,0.9999941726367673,1.0
1626.0186697782963,0.9999940833008241,1.0
1626.0233372228704,0.9999939926312599,1.0
1626.0280046674445,0.9999939006089101,1.0
1626.0326721120186,0.9999938072143506,1.0
1626.0373395565928,0.999993712427894,1.0
1626.042007001167,0.9999936162295877,1.0
1626.046674445741,0.9999935185992094,1.0
1626.0513418903151,0.9999934195162644,1.0
1626.056009334889,0.9999933189599826,1.0
1626.0606767794632,0.9999932169093142,1.0
1626.0653442240373,0.9999931133429278,1.0
1626.0700116686114,0.9999930082392057,1.0
1626.0746791131855,0.9999929015762409,1.0
1626.0793465577597,0.9999927933318343,1.0
1626.0840140023338,0.9999926834834901,1.0
1626.088681446908,0.9999925720084133,1.0
1626.0933488914818,0.9999924588835055,1.0
1626.098016336056,0.9999923440853616,1.0
1626.10268378063,0.9999922275902664,1.0
1626.1073512252042,0.9999921093741904,1.0
1626.1120186697783,0.9999919894127866,1.0
1626.1166861143524,0.9999918676813868,1.0
1626.1213535589266,0.9999917441549978,1.0
1626.1260210035007,0.9999916188082976,1.0
1626.1306884480746,0.9999914916156313,1.0
1626.1353558926487,0.9999913625510082,1.0
1626.1400233372228,0.999991231588097,1.0
1626.144690781797,0.9999910987002223,1.0
1626.149358226371,0.9999909638603609,1.0
1626.1540256709452,0.9999908270411377,1.0
1626.1586931155193,0.9999906882148214,1.0
1626.1633605600935,0.999990547353321,1.0
1626.1680280046673,0.9999904044281819,1.0
1626.1726954492415,0.999990259410581,1.0
1626.1773628938156,0.9999901122713234,1.0
1626.1820303383897,0.9999899629808382,1.0
1626.1866977829638,0.999989811509174,1.0
1626.191365227538,0.9999896578259951,1.0
1626.196032672112,0.9999895019005772,1.0
1626.2007001166862,0.999989343701803,1.0
1626.2053675612601,0.9999891831981581,1.0
1626.2100350058342,0.9999890203577267,1.0
1626.2147024504084,0.9999888551481877,1.0
1626.2193698949825,0.9999886875368095,1.0
1626.2240373395566,0.9999885174904463,1.0
1626.2287047841307,0.9999883449755337,1.0
1626.2333722287049,0.999988169958084,1.0
1626.238039673279,0.9999879924036822,1.0
1626.242707117853,0.999987812277481,1.0
1626.247374562427,0.999987629544197,1.0
1626.2520420070011,0.9999874441681051,1.0
1626.2567094515753,0.9999872561130358,1.0
1626.2613768961494,0.9999870653423687,1.0
1626.2660443407235,0.9999868718190292,1.0
1626.2707117852976,0.9999866755054835,1.0
1626.2753792298715,0.9999864763637341,1.0
1626.2800466744457,0.9999862743553151,1.0
1626.2847141190198,0.9999860694412877,1.0
1626.289381563594,0.9999858615822352,1.0
1626.294049008168,0.9999856507382592,1.0
1626.2987164527422,0.9999854368689738,1.0
1626.3033838973163,0.9999852199335018,1.0
1626.3080513418904,0.9999849998904692,1.0
1626.3127187864643,0.9999847766980016,1.0
1626.3173862310384,0.9999845503137184,1.0
1626.3220536756126,0.9999843206947284,1.0
1626.3267211201867,0.9999840877976255,1.0
1626.3313885647608,0.9999838515784835,1.0
1626.336056009335,0.9999836119928511,1.0
1626.340723453909,0.9999833689957481,1.0
1626.3453908984832,0.9999831225416596,1.0
1626.350058343057,0.9999828725845318,1.0
1626.3547257876312,0.999982619077767,1.0
1626.3593932322053,0.9999823619742193,1.0
1626.3640606767794,0.999982101226189,1.0
1626.3687281213536,0.999981836785419,1.0
1626.3733955659277,0.9999815686030886,1.0
1626.3780630105018,0.9999812966298103,1.0
1626.382730455076,0.9999810208156239,1.0
1626.3873978996498,0.9999807411099924,1.0
1626.392065344224,0.999980457461797,1.0
1626.396732788798,0.9999801698193326,1.0
1626.4014002333722,0.9999798781303031,1.0
1626.4060676779463,0.9999795823418166,1.0
1626.4107351225205,0.999979282400381,1.0
1626.4154025670946,0.9999789782518993,1.0
1626.4200700116687,0.9999786698416648,1.0
1626.4247374562426,0.999978357114357,1.0
1626.4294049008167,0.9999780400140366,1.0
1626.4340723453909,0.9999777184841413,1.0
1626.438739789965,0.9999773924674816,1.0
1626.443407234539,0.9999770619062359,1.0
1626.4480746791132,0.999976726741946,1.0
1626.4527421236874,0.9999763869155138,1.0
