data_file,W17_G102_lc_9281.txt
run_name,190
nsys,50
rl_in,0.12169232
epoch_in,58021.48064883803
incl_deg_in,87.34635
ecc_in,0.0
omega_in,0.0
period_in,3.73548535
aor_in,7.0780354
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8643852298273977
c2,-0.7924457545331808
c3,0.7737023887137273
c4,-0.27827136730216206
wavelength_mid_point,9303.380057335056
wavelength_half_width,154.5351082113657
top_five_numbers,[48 46 49 47 45]
top_five_aicevidence,[306.22889575 306.02385132 305.73543542 305.5836135  305.26730078]
top_five_dof,[38. 40. 37. 39. 41.]
top_five_chisq,[86.38994157 88.80003043 86.37686223 88.68050607 91.31313151]
top_five_weights,"[0.28103558678551593 0.22893471410532923 0.17157508341288297
 0.1474072335525049 0.10743503445603529]"
top_five_sdnr,[268.61123252 272.29078103 268.58724664 272.12561435 276.20271807]
white_noise,0.0003539970649813295
red_noise,0.00014343145699937922
beta,1.6464417075624553
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12138881384450279
rl_marg_err,0.0003607064395267967
epoch_marg,58021.48047435298
epoch_marg_err,0.0003538345868323028
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T14-55-33_W17_190/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T14-55-33_W17_190/residuals_best-model.png
