data_file,W17_G141_lc_13141.txt
run_name,13141
nsys,50
rl_in,0.1255
epoch_in,57957.97108811848
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.9083782993741065
c2,-0.9320496294686187
c3,0.8057575221950063
c4,-0.2746475284730382
wavelength_mid_point,13150.863957728154
wavelength_half_width,90.80626964749172
top_five_numbers,[43 48 42 44 49]
top_five_aicevidence,[335.68096302 335.38243244 335.29068936 335.18571647 334.98255434]
top_five_dof,[44. 43. 45. 43. 42.]
top_five_chisq,[67.82910457 67.42616574 69.60965189 67.81959767 67.22592193]
top_five_weights,"[0.18932828684607514 0.14046409342960023 0.12815094380140069
 0.1153805653343701 0.09416737632874479]"
top_five_sdnr,[308.42301449 307.52370583 312.55988689 308.39565483 307.04113175]
white_noise,0.0004117682006964318
red_noise,0.0001508860784710416
beta,1.4821161221420103
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12212741198653547
rl_marg_err,0.0004658362256587176
epoch_marg,57957.96970925942
epoch_marg_err,0.0005602229130053653
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G141/2021-07-05T13-35-39_W17_13141/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G141/2021-07-05T13-35-39_W17_13141/residuals_best-model.png
