data_file,W17_G141_lc_11395.txt
run_name,190
nsys,50
rl_in,0.12169232
epoch_in,57957.97108811848
incl_deg_in,87.34635
ecc_in,0.0
omega_in,0.0
period_in,3.73548535
aor_in,7.0780354
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8529826676459834
c2,-0.8253767327960433
c3,0.7629686458065699
c4,-0.2660921532485909
wavelength_mid_point,11425.544834425815
wavelength_half_width,45.40313482374586
top_five_numbers,[18 43 38 19 23]
top_five_aicevidence,[306.05084231 305.75467368 305.70779272 305.55230976 305.55177625]
top_five_dof,[40. 39. 40. 39. 39.]
top_five_chisq,[53.61471182 53.20704908 54.30081099 53.61177691 53.61284394]
top_five_weights,"[0.10463359453435175 0.07781202986616498 0.07424831528246903
 0.06355668135764364 0.06352278201604564]"
top_five_sdnr,[302.50181707 301.34561397 304.40530768 302.49212106 302.49603422]
white_noise,0.0004242038681314129
red_noise,5.763373280774773e-05
beta,1.1035374972237921
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12316171889157257
rl_marg_err,0.0005734455552778211
epoch_marg,57957.971586391584
epoch_marg_err,0.0005908610520533399
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T15-24-38_W17_190/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/190/2021-02-25T15-24-38_W17_190/residuals_best-model.png
