data_file,W17_G102_lc_9573.txt
run_name,9573_clipped
nsys,50
rl_in,0.1255
epoch_in,58021.48064883803
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8585556095815061
c2,-0.7929904885039111
c3,0.7684189190730746
c4,-0.27866302167028567
wavelength_mid_point,9576.78832570901
wavelength_half_width,118.87316016258865
top_five_numbers,[44 49 39 34 48]
top_five_aicevidence,[318.19990602 317.70899995 316.84532362 316.36030837 314.81493759]
top_five_dof,[42. 41. 43. 44. 42.]
top_five_chisq,[104.83459571 104.81640786 108.54376052 110.51379102 111.60453257]
top_five_weights,"[0.4825645318776005 0.295364025080119 0.12452820693158041
 0.07667049850265485 0.016348664714626607]"
top_five_sdnr,[330.89746291 330.86157723 336.58442416 339.52873451 341.3019086 ]
white_noise,0.00046175610387379505
red_noise,7.96521749446978e-05
beta,1.1356582995255387
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12181947462968261
rl_marg_err,0.0003836429405291707
epoch_marg,58021.47864615412
epoch_marg_err,0.000418151448366062
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-50-21_W17_9573_clipped/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-50-21_W17_9573_clipped/residuals_best-model.png
