data_file,W17_G102_lc_8782.txt
run_name,8782_clipped
nsys,50
rl_in,0.1255
epoch_in,58021.48064883803
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8588653388885349
c2,-0.7428654121289835
c3,0.7112288347321348
c4,-0.2555433508084532
wavelength_mid_point,8780.338152619664
wavelength_half_width,106.98584414633024
top_five_numbers,[15 40 43 41 20]
top_five_aicevidence,[327.73878774 327.70927728 327.42329105 327.39057577 327.28594652]
top_five_dof,[47. 46. 43. 45. 46.]
top_five_chisq,[67.12374404 66.18276495 63.75473742 65.82016798 67.02942649]
top_five_weights,"[0.08656944442545797 0.08405206783109233 0.06314604562655267
 0.06111363182138866 0.05504250442976665]"
top_five_sdnr,[330.49458186 328.20117262 322.34589584 327.39770781 330.25853337]
white_noise,0.00046600074753646914
red_noise,3.781637823167191e-05
beta,1.032212559287232
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12116603394738094
rl_marg_err,0.000472641363229752
epoch_marg,58021.478784509294
epoch_marg_err,0.0005272486792277678
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-42-17_W17_8782_clipped/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-42-17_W17_8782_clipped/residuals_best-model.png
