data_file,W17_G141_lc_14305.txt
run_name,14305
nsys,50
rl_in,0.1255
epoch_in,57957.97108811848
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.9888080145666787
c2,-1.1179921101690684
c3,0.9475187681305514
c4,-0.317871321045002
wavelength_mid_point,14308.643895733672
wavelength_half_width,113.50783705936465
top_five_numbers,[47 48 49 37 42]
top_five_aicevidence,[340.90567661 340.41018735 339.90983608 339.87667143 339.49516833]
top_five_dof,[44. 43. 42. 46. 45.]
top_five_chisq,[62.57330325 62.56428178 62.56498432 66.63131361 66.39431982]
top_five_weights,"[0.2745533603140254 0.16727787814889364 0.1014235285386094
 0.09811501890992488 0.06699629716466354]"
top_five_sdnr,[282.9781417  282.96161548 282.96722311 292.10365553 291.48751878]
white_noise,0.0
red_noise,0.0
beta,1.0
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12317252394998301
rl_marg_err,0.00044151410498966426
epoch_marg,57957.9701431479
epoch_marg_err,0.0004999344637347993
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G141/2021-07-05T13-50-52_W17_14305/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G141/2021-07-05T13-50-52_W17_14305/residuals_best-model.png
