data_file,W17_G102_lc_8394.txt
run_name,8394_clipped
nsys,50
rl_in,0.1255
epoch_in,58021.48064883803
incl_deg_in,86.93051272857655
ecc_in,0.0
omega_in,0.0
period_in,3.7354850226
aor_in,7.025
metallicity,-0.25
teff_in,6550.0
logg_in,4.2
c1,0.8806581715011236
c2,-0.779873434971138
c3,0.7746326278802015
c4,-0.2814458084061633
wavelength_mid_point,8388.056724083122
wavelength_half_width,95.09852813007092
top_five_numbers,[43 48 44 49 18]
top_five_aicevidence,[321.32220746 321.16972802 321.08128638 320.7143369  319.69902389]
top_five_dof,[43. 42. 42. 41. 44.]
top_five_chisq,[55.21251574 54.51747463 54.69435791 54.42825686 59.45888288]
top_five_weights,"[0.2128319992913125 0.18273256162573176 0.16726544404631158
 0.11588896758428059 0.04198529965357732]"
top_five_sdnr,[364.64158411 362.25104782 362.90666745 361.96718263 378.75519265]
white_noise,0.0
red_noise,0.0
beta,1.0
num_rejected,0
indices_rejected,"(array([], dtype=int64),)"
rl_marg,0.12186107048769095
rl_marg_err,0.0005709117687999982
epoch_marg,58021.47931037062
epoch_marg_err,0.0006789188604006046
inclin_rad_marg,
inclin_rad_marg_err,
inclin_deg_marg,
inclin_deg_marg_err,
msmpr_marg,
msmpr_marg_err,
aor_marg,
aor_marg_err,
systematics_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-37-21_W17_8394_clipped/weights-stdr-rl.png
lightcurve_figure,/Users/lilialderson/Documents/ExoTiCISM/outputs/FINAL_PERIOD_G102/2021-07-05T12-37-21_W17_8394_clipped/residuals_best-model.png
